,binWidth_1_ODI_male_P45_nrxn,binWidth_1_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLL_glszm_SmallAreaLowGrayLevelEmphasis,0.24703545293108428,0.46869521118568097,-0.9239319514654563,0.24768425791064022,0.38238973151116384,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SizeZoneNonUniformityNormalized,0.14015483494011097,0.4000602001427863,-1.5131955957086023,0.24345263325720187,0.38238973151116384,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Skewness,0.8597140507312198,0.62316014141297,0.46425392652498554,0.2715324885400087,0.4119803274400132,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LargeDependenceLowGrayLevelEmphasis,0.3098196290044397,0.5581792109648912,-0.8492998423858724,0.3161843108203134,0.47159693817267084,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Minimum,0.44625549375857665,0.24891205918809067,0.842233802867241,0.32291198600317383,0.47360424613798835,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumSquares,0.7278280803060113,0.4826508758335876,0.5926177159408555,0.3584481736939584,0.5171055620503007,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_90Percentile,0.3621298070851181,0.5493689701710535,-0.6012684947898082,0.4208730463062834,0.5973681947573054,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Maximum,0.6429732715022706,0.42103558115793127,0.610816607059143,0.4388241834552842,0.6096553741172978,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_RootMeanSquared,0.3126877307238344,0.4950404890281622,-0.6628239153295341,0.44338572663076203,0.6096553741172978,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Energy,0.3026598835602655,0.45193819334805096,-0.5784280204971096,0.5305532908706009,0.6968461133822819,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Variance,0.303961899494989,0.45521745438535266,-0.5826653774158467,0.5250212656329363,0.6968461133822819,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_TotalEnergy,0.3026598835602654,0.4519381933480508,-0.5784280204971096,0.530553290870601,0.6968461133822819,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_MeanAbsoluteDeviation,0.3251423057762935,0.4699011707526116,-0.531286078201926,0.5455352504702278,0.7059867947261771,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_10Percentile,0.6799167679852558,0.5423043079699132,0.3262555187367865,0.5843361295677314,0.7298788580162084,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_SmallDependenceLowGrayLevelEmphasis,0.5415938080165101,0.4256488269922885,0.34754759018708936,0.5888795331721681,0.7298788580162084,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumEntropy,0.3955762874173594,0.5116488332729403,-0.3711980186562074,0.5747623965989421,0.7298788580162084,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_SmallDependenceEmphasis,0.6050635796109933,0.47864531347910066,0.33812976396200234,0.6126104443789813,0.7487460986854215,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Mean,0.4099220242364123,0.5028115133026902,-0.29466817976770704,0.6688015145352071,0.8062264832753181,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_RobustMeanAbsoluteDeviation,0.36839110573021383,0.46133560762933,-0.3245784193009085,0.6898532362402694,0.8203660106641041,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_SmallDependenceHighGrayLevelEmphasis,0.6081701510648307,0.5349298586424183,0.18512527667808207,0.7525607057621263,0.8734010525422687,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_InterquartileRange,0.37588907444708475,0.44713063324176244,-0.2503894065773101,0.7543009090137776,0.8734010525422687,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_HighGrayLevelZoneEmphasis,0.5490384615384616,0.5028402366863904,0.1268071200780114,0.8456472640703306,0.9450210631359308,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LowGrayLevelZoneEmphasis,0.4509615384615385,0.49715976331360956,-0.14070514494268652,0.8456472640703311,0.9450210631359308,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Kurtosis,0.37298134328467925,0.42636313219013006,-0.19297922505775505,0.848371181678847,0.9450210631359308,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_ZoneEntropy,0.6070776113320836,0.6490962827821238,-0.09655152581409271,0.8620028157152926,0.9482030972868218,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelVariance,0.6718066801619432,0.7109912081067483,-0.08178557884868358,0.8883623604621547,0.9533644843984099,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelNonUniformityNormalized,0.32819331983805655,0.28900879189325146,0.1834324926259189,0.8883623604621547,0.9533644843984099,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Range,0.6812759399368665,0.7052699300532858,-0.04993627296985848,0.913884993809315,0.9689383066893942,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Entropy,0.6176273835539519,0.6194125083700328,-0.004163798635809849,0.9939025900403614,0.9939025900403614,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SmallAreaHighGrayLevelEmphasis,0.33589359306411565,0.3462894735079346,-0.043974255788042454,0.967573953205679,0.9939025900403614,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Uniformity,0.3824005740058851,0.38060680606813546,0.0067833285586422504,0.9938731146402372,0.9939025900403614,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_GrayLevelVariance,0.6175994259944559,0.6193931939320919,-0.004184118612134927,0.9938731146406257,0.9939025900403614,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_GrayLevelNonUniformity,0.3824005740058851,0.38060680606813546,0.0067833285586422504,0.9938731146402372,0.9939025900403614,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
