,binWidth_1_vISO_male_P45_nrxn,binWidth_1_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHL_gldm_DependenceNonUniformityNormalized,0.6714960356968891,0.2653556656098045,1.3394515303908496,0.030310139976465564,0.1402038791546242,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_DependenceNonUniformity,0.6714960356968884,0.26535566560980384,1.3394515303908519,0.030310139976465714,0.1402038791546242,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_InverseVariance,0.7417522692807381,0.35267716971642643,1.0725892483830057,0.05878615721348659,0.14793299889370612,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_GrayLevelNonUniformity,0.7475040421295063,0.3537051528538072,1.0795341440200448,0.06030710477522945,0.14793299889370612,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_LargeDependenceEmphasis,0.2551968688091577,0.6439742460928883,-1.3353923652682242,0.05230691284022352,0.14793299889370612,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunPercentage,0.7461716937355067,0.3531322505800503,1.0792990476753823,0.06129609387775301,0.14793299889370612,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_ShortRunHighGrayLevelEmphasis,0.5429588675926169,0.13970291471250817,1.958480788379146,0.05392673657858338,0.14793299889370612,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_DependenceVariance,0.26604645283670236,0.6402146668228283,-1.266877559908781,0.04978916643600024,0.14793299889370612,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Imc1,0.7291854149559565,0.24936521284137733,1.548025485991758,0.049113825368123545,0.14793299889370612,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Idn,0.2582477307192619,0.6473228302835764,-1.3257297149972425,0.05878615721349026,0.14793299889370612,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Idmn,0.25824773071924767,0.6473228302835992,-1.3257297149973728,0.058786157213467354,0.14793299889370612,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_ClusterProminence,0.1797029536412893,0.5995423209880855,-1.7382474738540221,0.06309198539041046,0.14793299889370612,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Id,0.25824773071927254,0.6473228302835878,-1.3257297149972085,0.058786157213482175,0.14793299889370612,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_DifferenceVariance,0.7280153208029194,0.24795796512291018,1.5538732420973682,0.04878686133803733,0.14793299889370612,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_ClusterTendency,0.1775909768339332,0.5966802409670663,-1.7483997208224655,0.06388015861319128,0.14793299889370612,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Contrast,0.7417522692807381,0.35267716971642643,1.0725892483830057,0.05878615721348659,0.14793299889370612,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_DifferenceEntropy,0.7319716245476684,0.2499100322406406,1.5503789051078605,0.04712442871035994,0.14793299889370612,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Correlation,0.21129525461194493,0.6192753222676177,-1.5513205899328408,0.059039056163874046,0.14793299889370612,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_DifferenceAverage,0.7417522692807381,0.35267716971642643,1.0725892483830057,0.05878615721348659,0.14793299889370612,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Idm,0.25824773071927254,0.6473228302835878,-1.3257297149972085,0.058786157213482175,0.14793299889370612,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_MCC,0.3513073675995352,0.7670666786736924,-1.12661815908209,0.06687345355309034,0.15089394647876794,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Imc2,0.35531547073975245,0.7680539914474778,-1.112107224596804,0.06890975977082903,0.15160147149582387,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_JointEntropy,0.6648469838362132,0.22239423196770075,1.579902968308633,0.08860396752854048,0.1884418558269984,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
