,feature_name,case,control,L2FC,p_val,fdr_bh_adjusted_p_val,image_type,param_type,roi,transformation_type,feature_class,feature_type,fdr_bh_significance_alpha_0.05
89,original_firstorder_90Percentile,0.6568662141678848,0.14110465732756,2.2188339560242274,0.0026451266802300995,0.031101006970848562,ODI,binWidth_0_05,r_hippocampus,original,firstorder,90Percentile,True
90,original_firstorder_Energy,0.6207821527086828,0.13077297371389726,2.2470226650102143,0.008093433663230428,0.031101006970848562,ODI,binWidth_0_05,r_hippocampus,original,firstorder,Energy,True
91,original_firstorder_Entropy,0.6232511962976237,0.08413246419774902,2.8890792410694317,0.006421971250458796,0.031101006970848562,ODI,binWidth_0_05,r_hippocampus,original,firstorder,Entropy,True
92,original_firstorder_InterquartileRange,0.7630912205254264,0.16445222105944654,2.214187035208788,0.0013939979567885426,0.0303194555601508,ODI,binWidth_0_05,r_hippocampus,original,firstorder,InterquartileRange,True
93,original_firstorder_Kurtosis,0.13319621414428084,0.7432506189954509,-2.480295682584426,0.009671717197199664,0.031101006970848562,ODI,binWidth_0_05,r_hippocampus,original,firstorder,Kurtosis,True
94,original_firstorder_Maximum,0.7299191230423157,0.175583508737083,2.0555792689047965,0.0011717107937379064,0.0303194555601508,ODI,binWidth_0_05,r_hippocampus,original,firstorder,Maximum,True
95,original_firstorder_MeanAbsoluteDeviation,0.6659995248226379,0.1048845268613138,2.666719288607922,0.006266053029893974,0.031101006970848562,ODI,binWidth_0_05,r_hippocampus,original,firstorder,MeanAbsoluteDeviation,True
96,original_firstorder_Mean,0.6579641486326582,0.16326879117372722,2.0107599299353915,0.0100095194848708,0.031101006970848562,ODI,binWidth_0_05,r_hippocampus,original,firstorder,Mean,True
97,original_firstorder_Median,0.6354501194857936,0.1779466204009899,1.8363343502362568,0.031303948436016686,0.045390725232224184,ODI,binWidth_0_05,r_hippocampus,original,firstorder,Median,True
98,original_firstorder_Minimum,,,,1.0,1.0,ODI,binWidth_0_05,r_hippocampus,original,firstorder,Minimum,False
99,original_firstorder_Range,0.7299191230423157,0.175583508737083,2.0555792689047965,0.0011717107937379064,0.0303194555601508,ODI,binWidth_0_05,r_hippocampus,original,firstorder,Range,True
100,original_firstorder_RobustMeanAbsoluteDeviation,0.7207970159305958,0.10652246473974013,2.7584353230308167,0.002096801683557936,0.031101006970848562,ODI,binWidth_0_05,r_hippocampus,original,firstorder,RobustMeanAbsoluteDeviation,True
101,original_firstorder_RootMeanSquared,0.6511115325815959,0.1492040153257445,2.1256183305478453,0.00637401096280544,0.031101006970848562,ODI,binWidth_0_05,r_hippocampus,original,firstorder,RootMeanSquared,True
102,original_firstorder_Skewness,0.6174896057342211,0.6820589956598987,-0.14348168073140674,0.7740243581562744,0.7922366959952455,ODI,binWidth_0_05,r_hippocampus,original,firstorder,Skewness,False
103,original_firstorder_TotalEnergy,0.620782152708683,0.13077297371389718,2.2470226650102147,0.008093433663230391,0.031101006970848562,ODI,binWidth_0_05,r_hippocampus,original,firstorder,TotalEnergy,True
104,original_firstorder_Uniformity,0.32367685691974346,0.8589034812320644,-1.4079418027602215,0.005514973379684567,0.031101006970848562,ODI,binWidth_0_05,r_hippocampus,original,firstorder,Uniformity,True
105,original_firstorder_Variance,0.6056963375603854,0.10526487977747027,2.524570507239276,0.016807463649125394,0.03231894456608565,ODI,binWidth_0_05,r_hippocampus,original,firstorder,Variance,True
106,original_glcm_Autocorrelation,0.6305884492811917,0.14079637032662212,2.163088601530576,0.009296354661401423,0.031101006970848562,ODI,binWidth_0_05,r_hippocampus,original,glcm,Autocorrelation,True
107,original_glcm_ClusterProminence,0.5039944458081431,0.05966222023024235,3.0785182635381467,0.03505723202810678,0.04999965879418508,ODI,binWidth_0_05,r_hippocampus,original,glcm,ClusterProminence,True
108,original_glcm_ClusterShade,0.794100721275172,0.6082423674710136,0.3846756943237076,0.4319304687264919,0.4697243847400599,ODI,binWidth_0_05,r_hippocampus,original,glcm,ClusterShade,False
109,original_glcm_ClusterTendency,0.5972962424816415,0.11792878127900322,2.3405307856761266,0.014001197053158452,0.03231894456608565,ODI,binWidth_0_05,r_hippocampus,original,glcm,ClusterTendency,True
110,original_glcm_Contrast,0.7031740817284464,0.2387528687879229,1.5583638269357571,0.01741776164607893,0.03231894456608565,ODI,binWidth_0_05,r_hippocampus,original,glcm,Contrast,True
111,original_glcm_Correlation,0.34459171848234593,0.4266854418552472,-0.30828485792936977,0.7216644432499115,0.7474381733659797,ODI,binWidth_0_05,r_hippocampus,original,glcm,Correlation,False
112,original_glcm_DifferenceAverage,0.7771010480308446,0.2829514296074901,1.4575477807708948,0.012927852830361831,0.03231894456608565,ODI,binWidth_0_05,r_hippocampus,original,glcm,DifferenceAverage,True
113,original_glcm_DifferenceEntropy,0.7610818299556623,0.30117541328187125,1.3374475785306728,0.0171728052562875,0.03231894456608565,ODI,binWidth_0_05,r_hippocampus,original,glcm,DifferenceEntropy,True
114,original_glcm_DifferenceVariance,0.6425454624312004,0.2205933908450155,1.5424089665694918,0.030965248860000964,0.045390725232224184,ODI,binWidth_0_05,r_hippocampus,original,glcm,DifferenceVariance,True
115,original_glcm_Id,0.15916920644847046,0.6833884725711117,-2.1021446595651803,0.012703811866839769,0.03231894456608565,ODI,binWidth_0_05,r_hippocampus,original,glcm,Id,True
116,original_glcm_Idm,0.15721709640149095,0.6793729246055685,-2.1114456124798773,0.012978245628339312,0.03231894456608565,ODI,binWidth_0_05,r_hippocampus,original,glcm,Idm,True
117,original_glcm_Idmn,0.4258167269428199,0.6004432375209717,-0.495795245331961,0.4007565896047404,0.4469977345591336,ODI,binWidth_0_05,r_hippocampus,original,glcm,Idmn,False
