,binWidth_1_NDI_male_P45_nrxn,binWidth_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLH_gldm_DependenceVariance,0.48767800702490394,0.12048428213190406,2.017083961290645,0.12215972735565689,0.2150011201459561,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunVariance,0.43810461366294284,0.10290898143175813,2.089906508064178,0.13600866501657297,0.23468161806781215,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceNonUniformity,0.48630064235496384,0.8211961504683165,-0.7558783672873259,0.15442109341938015,0.25639728718689675,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceNonUniformityNormalized,0.48630064235496384,0.8211961504683162,-0.7558783672873254,0.154421093419381,0.25639728718689675,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunLowGrayLevelEmphasis,0.4398832146456093,0.13345826550881973,1.720731891897302,0.18716614682319052,0.2994658349171048,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Minimum,0.825855517809375,0.5304334006522382,0.638717783568026,0.18645420968425394,0.2994658349171048,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Range,0.15436045238737423,0.4271066430455739,-1.4682931601208722,0.22663569495851124,0.3438610544198102,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelNonUniformity,0.5089285714285714,0.24999999999999994,1.0255350921071378,0.2197635906291626,0.3438610544198102,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SizeZoneNonUniformity,0.3520408163265306,0.07142857142857141,2.3011695347205654,0.22383469512946688,0.3438610544198102,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Maximum,0.13133196931028168,0.377683527791352,-1.5239597186506937,0.2916463143388154,0.4013548950628882,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelNonUniformityNormalized,0.3752834467120181,0.12345679012345681,1.603974469246959,0.28962417953583297,0.4013548950628882,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelVariance,0.6247165532879818,0.8765432098765432,-0.4886234536064204,0.2896241795358328,0.4013548950628882,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Skewness,0.34725393932325277,0.5758090805752324,-0.7295994800051535,0.27316724264161313,0.4013548950628882,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LargeDependenceLowGrayLevelEmphasis,0.49231350901450366,0.1941297539689602,1.342556072818299,0.28561938025294387,0.4013548950628882,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_ZonePercentage,0.5,0.275,0.8624964762500651,0.29189446913664596,0.4013548950628882,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_HighGrayLevelZoneEmphasis,0.41326530612244894,0.6428571428571428,-0.6374299206152917,0.3033706746815467,0.40449423290872893,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LowGrayLevelZoneEmphasis,0.5867346938775511,0.35714285714285715,0.7162070339994089,0.3033706746815464,0.40449423290872893,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SizeZoneNonUniformityNormalized,0.6658644589911435,0.4481132075471697,0.5713652886382428,0.36275961063171674,0.4764603841132996,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_MCC,0.6263753892076427,0.45227631300576315,0.4698230891814383,0.3958908970884221,0.5123293962320757,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_SmallDependenceLowGrayLevelEmphasis,0.5191177298552505,0.6803194964874084,-0.3901506721034102,0.44673426721683274,0.569748050943207,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SmallAreaHighGrayLevelEmphasis,0.49244791105155505,0.6925993268930353,-0.4920498546653212,0.45924498207102615,0.5765037392794423,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Imc2,0.6373483082845708,0.4832831108450635,0.39921343682715477,0.46513369873682275,0.5765037392794423,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_SumSquares,0.9088974342880007,0.7442389966297072,0.28835151403915343,0.47919246144214145,0.5856796750959506,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_MaximumProbability,0.5846336218960939,0.4469865287569732,0.38730144773524633,0.5465699978378128,0.6588789015031168,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Entropy,0.8734460660863306,0.7430981104298325,0.23316592096868877,0.584898525921201,0.6685343194229534,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Uniformity,0.12661181411181133,0.25693750693750417,-1.021005477238213,0.5849675294950759,0.6685343194229534,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_GrayLevelVariance,0.8733881858882242,0.7430624930624902,0.23313946681670256,0.5849675294949543,0.6685343194229534,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_GrayLevelNonUniformity,0.12661181411183975,0.2569375069375269,-1.021005477238017,0.5849675294950842,0.6685343194229534,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_GrayLevelVariance,0.6690421713717569,0.8048486472265722,-0.26662035781897475,0.6242330170878336,0.695348170934173,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_GrayLevelNonUniformityNormalized,0.3309578286273336,0.19515135277270018,0.7620539339243819,0.6242330170886325,0.695348170934173,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_ZoneEntropy,0.5550318211564971,0.6523719014285831,-0.23312415787866517,0.6463239667110393,0.7109563633821433,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Mean,0.34076302603080205,0.4539377730863251,-0.413725736218439,0.6829999390461925,0.7420246251366043,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SmallAreaLowGrayLevelEmphasis,0.5079340499074869,0.43595709232717883,0.22045504044021913,0.7388773214203906,0.7929415156706632,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LargeAreaLowGrayLevelEmphasis,0.331947420103786,0.38952977070907996,-0.2307788545149196,0.7986440030081382,0.8467550875267007,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SmallAreaEmphasis,0.5382777596536661,0.5813020824408532,-0.11093725896174698,0.8531591886759127,0.883283933856619,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LowGrayLevelRunEmphasis,0.5479851567061758,0.5911921977639963,-0.10949041431596396,0.8732466164264301,0.883283933856619,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LargeAreaEmphasis,0.33907541964087606,0.37575069628371793,-0.14816957366252803,0.8678258974051526,0.883283933856619,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_HighGrayLevelRunEmphasis,0.4520148432938278,0.40880780223600655,0.1449474178710941,0.8732466164264293,0.883283933856619,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LargeAreaHighGrayLevelEmphasis,0.3464549083741176,0.3614854702623978,-0.061270064239029705,0.9445387802275871,0.9445387802275871,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
